FECHA,Calle,Carrera,Descripcion,Origen,Destino,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,
14032019,45,7,doble via,Sur,Norte,06:00:00,7,132,81,114,38,6,6,14,0,
14032019,45,7,doble via,Sur,Norte,06:15:02,9,139,84,131,60,11,8,17,0,
14032019,45,7,doble via,Sur,Norte,06:30:01,3,137,77,104,59,4,12,17,0,
14032019,45,7,doble via,Sur,Norte,06:45:00,6,196,105,155,41,5,7,21,0,
14032019,45,7,doble via,Sur,Norte,06:59:59,6,215,124,127,52,5,7,8,0,
14032019,45,7,doble via,Sur,Norte,07:15:00,5,121,87,72,53,1,6,11,0,
14032019,45,7,doble via,Sur,Norte,07:29:59,5,165,165,151,55,8,7,14,0,
14032019,45,7,doble via,Sur,Norte,07:44:58,10,170,162,167,66,9,10,18,0,
14032019,45,7,doble via,Sur,Norte,07:59:57,12,195,178,143,54,15,12,9,0,
14032019,45,7,doble via,Sur,Norte,08:14:58,9,156,163,127,65,13,7,10,0,
14032019,45,7,doble via,Sur,Norte,08:29:55,6,150,174,94,50,13,7,15,0,
14032019,45,7,doble via,Sur,Norte,08:44:56,11,191,146,146,39,8,9,16,0,
14032019,45,7,doble via,Sur,Norte,08:59:55,4,195,162,97,53,13,11,10,0,
14032019,45,7,doble via,Sur,Norte,09:14:54,4,195,156,98,44,19,6,9,0,
14032019,45,7,doble via,Sur,Norte,09:29:53,6,183,183,108,41,20,8,12,0,
14032019,45,7,doble via,Sur,Norte,09:44:54,14,193,150,108,49,19,8,9,0,
14032019,45,7,doble via,Sur,Norte,09:59:54,7,189,128,95,31,22,18,11,0,
14032019,45,7,doble via,Sur,Norte,10:14:53,2,141,127,74,36,13,7,8,0,
14032019,45,7,doble via,Sur,Norte,10:29:52,9,106,71,50,34,9,6,5,0,
14032019,45,7,doble via,Sur,Norte,10:44:53,3,107,103,50,45,15,7,11,0,
14032019,45,7,doble via,Sur,Norte,10:59:52,3,170,119,66,37,11,15,9,0,
14032019,45,7,doble via,Sur,Norte,11:14:51,15,115,96,62,33,17,7,10,0,
14032019,45,7,doble via,Sur,Norte,11:29:50,8,161,98,69,46,10,9,10,0,
14032019,45,7,doble via,Sur,Norte,11:44:51,2,151,101,83,42,11,6,5,0,
14032019,45,7,doble via,Norte,Sur,06:00:00,19,154,53,63,38,8,1,13,0,
14032019,45,7,doble via,Norte,Sur,06:15:02,17,229,90,76,37,7,6,17,0,
14032019,45,7,doble via,Norte,Sur,06:30:01,5,260,108,82,31,9,8,16,0,
14032019,45,7,doble via,Norte,Sur,06:45:00,18,341,119,94,26,2,16,15,0,
14032019,45,7,doble via,Norte,Sur,06:59:59,8,334,126,82,35,4,7,16,0,
14032019,45,7,doble via,Norte,Sur,07:15:00,11,312,151,79,37,3,11,10,0,
14032019,45,7,doble via,Norte,Sur,07:29:59,18,300,162,82,18,7,10,11,0,
14032019,45,7,doble via,Norte,Sur,07:44:58,12,299,153,77,35,0,13,19,0,
14032019,45,7,doble via,Norte,Sur,07:59:57,16,276,163,81,35,10,9,14,0,
14032019,45,7,doble via,Norte,Sur,08:14:58,10,235,152,73,39,16,7,5,0,
14032019,45,7,doble via,Norte,Sur,08:29:55,2,205,131,65,40,11,12,3,0,
14032019,45,7,doble via,Norte,Sur,08:44:56,19,237,133,83,45,4,11,8,0,
14032019,45,7,doble via,Norte,Sur,08:59:55,5,262,158,75,43,12,10,7,0,
14032019,45,7,doble via,Norte,Sur,09:14:54,13,250,149,103,47,20,7,6,0,
14032019,45,7,doble via,Norte,Sur,09:29:53,11,247,138,98,44,15,16,16,0,
14032019,45,7,doble via,Norte,Sur,09:44:54,4,252,132,105,28,11,6,11,0,
14032019,45,7,doble via,Norte,Sur,09:59:54,7,208,154,125,32,25,18,7,0,
14032019,45,7,doble via,Norte,Sur,10:14:53,5,234,159,101,29,11,5,12,0,
14032019,45,7,doble via,Norte,Sur,10:29:52,13,243,134,99,33,16,16,8,0,
14032019,45,7,doble via,Norte,Sur,10:44:53,14,218,135,104,18,15,13,14,0,
14032019,45,7,doble via,Norte,Sur,10:59:52,8,207,131,81,36,19,9,4,0,
14032019,45,7,doble via,Norte,Sur,11:14:51,10,196,118,122,27,10,6,13,0,
14032019,45,7,doble via,Norte,Sur,11:29:50,6,226,116,118,35,14,6,10,0,
14032019,45,7,doble via,Norte,Sur,11:44:51,10,240,108,108,25,13,1,16,0,
