12082019,85,11,cicloruta,Sur,Norte,06:00:00,7,3,2,2,0,1,1,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,06:15:01,26,14,14,5,1,2,1,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,06:30:01,15,15,9,6,3,6,1,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,06:45:00,17,26,12,10,3,11,0,0,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,07:00:00,20,27,8,10,4,5,5,4,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,07:14:59,25,15,10,8,4,2,1,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,07:29:59,9,0,0,1,0,1,0,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,07:45:00,21,15,6,12,1,8,2,5,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,07:59:57,22,14,10,13,1,5,3,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,08:14:58,35,27,24,11,1,3,3,1,0,1,0,
12082019,85,11,cicloruta,Sur,Norte,08:29:57,28,39,24,16,2,4,5,4,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,08:44:57,25,28,17,14,0,5,4,1,0,1,0,
12082019,85,11,cicloruta,Sur,Norte,08:59:56,21,23,28,20,2,2,1,3,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,09:14:55,15,49,25,14,3,2,5,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,09:29:56,11,31,17,24,2,3,3,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,09:44:55,4,4,7,6,0,1,0,0,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,09:59:54,16,27,11,14,2,5,1,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,10:14:55,15,27,14,15,2,2,0,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,10:29:54,27,52,12,18,2,4,4,3,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,10:44:53,22,28,17,14,0,11,0,5,0,2,0,
12082019,85,11,cicloruta,Sur,Norte,10:59:52,1,32,8,8,0,0,1,27,0,6,0,
12082019,85,11,cicloruta,Sur,Norte,11:14:51,2,25,12,14,0,1,1,47,0,6,0,
12082019,85,11,cicloruta,Sur,Norte,11:29:52,3,24,12,11,0,1,0,31,0,5,0,
12082019,85,11,cicloruta,Sur,Norte,11:44:51,0,20,10,9,0,0,0,48,0,6,0,
12082019,85,11,cicloruta,Sur,Norte,11:59:50,1,30,16,12,0,0,3,42,0,12,0,
12082019,85,11,cicloruta,Sur,Norte,12:14:49,2,19,10,16,0,1,1,68,0,18,0,
12082019,85,11,cicloruta,Sur,Norte,12:29:51,2,26,25,24,0,0,0,55,0,21,0,
12082019,85,11,cicloruta,Sur,Norte,12:44:50,2,4,5,3,0,0,0,63,0,22,0,
12082019,85,11,cicloruta,Sur,Norte,12:59:49,1,0,0,1,0,0,0,63,0,13,0,
12082019,85,11,cicloruta,Sur,Norte,13:14:48,3,0,0,0,0,0,0,48,0,15,0,
12082019,85,11,cicloruta,Sur,Norte,13:29:47,1,0,0,0,0,0,0,50,0,16,0,
12082019,85,11,cicloruta,Sur,Norte,13:44:48,3,0,0,0,0,0,0,58,0,18,0,
12082019,85,11,cicloruta,Sur,Norte,13:59:47,0,0,0,0,0,0,0,46,0,19,0,
12082019,85,11,cicloruta,Sur,Norte,14:14:46,1,0,0,0,0,0,0,52,0,17,0,
12082019,85,11,cicloruta,Sur,Norte,14:29:45,11,6,1,12,0,1,0,4,0,6,0,
12082019,85,11,cicloruta,Sur,Norte,14:44:46,36,34,17,21,1,7,0,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,14:59:45,40,34,14,20,2,3,0,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,15:14:44,42,23,18,15,2,3,2,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,15:29:43,32,35,17,15,7,1,0,1,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,15:44:42,37,33,9,13,1,2,1,5,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,15:59:43,41,53,16,12,6,1,0,4,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,16:14:42,38,28,15,16,3,2,1,5,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,16:29:41,47,41,10,15,4,1,2,3,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,16:44:40,42,35,13,19,4,2,1,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,16:59:39,52,25,6,16,3,5,0,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,17:14:38,48,24,5,13,6,3,0,2,0,0,0,
12082019,85,11,cicloruta,Sur,Norte,17:29:37,56,33,9,12,1,1,0,1,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,06:00:00,3,45,15,8,1,1,2,15,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,06:15:01,13,18,15,10,1,2,2,1,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,06:30:01,11,7,4,10,4,12,1,2,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,06:45:00,14,23,14,17,7,3,1,1,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,07:00:00,19,30,33,12,5,10,0,2,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,07:14:59,25,10,18,12,0,7,2,1,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,07:29:59,7,0,0,0,0,4,0,0,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,07:45:00,8,17,13,11,3,7,2,6,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,07:59:57,25,15,21,8,1,2,1,4,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,08:14:58,31,73,52,20,3,5,1,3,0,1,0,
12082019,85,11,cicloruta,Norte,Sur,08:29:57,31,46,45,18,11,4,7,4,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,08:44:57,25,26,26,12,3,7,1,1,0,1,0,
12082019,85,11,cicloruta,Norte,Sur,08:59:56,9,13,10,6,0,2,5,3,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,09:14:55,35,22,21,8,1,3,4,2,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,09:29:56,15,11,5,11,4,4,1,1,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,09:44:55,7,5,4,6,0,3,0,0,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,09:59:54,26,23,12,5,3,4,0,0,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,10:14:55,14,35,10,11,3,2,0,2,0,0,0,
12082019,85,11,cicloruta,Norte,Sur,10:29:54,31,86,55,29,7,7,1,0,1,0,0,
12082019,85,11,cicloruta,Norte,Sur,10:44:53,32,85,51,43,5,6,4,14,0,2,0,
12082019,85,11,cicloruta,Norte,Sur,10:59:52,0,163,85,69,1,9,12,38,0,12,0,
12082019,85,11,cicloruta,Norte,Sur,11:14:51,0,167,66,61,0,9,2,59,0,15,0,
12082019,85,11,cicloruta,Norte,Sur,11:29:52,0,173,68,68,1,12,6,55,0,11,0,
12082019,85,11,cicloruta,Norte,Sur,11:44:51,1,187,66,75,2,9,7,78,0,13,0,
12082019,85,11,cicloruta,Norte,Sur,11:59:50,1,171,68,59,3,2,4,55,0,11,0,
12082019,85,11,cicloruta,Norte,Sur,12:14:49,0,187,55,77,2,14,5,82,0,26,0,
12082019,85,11,cicloruta,Norte,Sur,12:29:51,0,177,65,71,1,6,9,61,0,17,0,
12082019,85,11,cicloruta,Norte,Sur,12:44:50,4,54,14,26,1,1,1,61,0,10,0,
12082019,85,11,cicloruta,Norte,Sur,12:59:49,8,0,0,14,0,0,0,67,0,12,0,
12082019,85,11,cicloruta,Norte,Sur,13:14:48,5,0,0,8,0,0,0,69,0,11,0,
